source,variant,seed,n,n_pos,roc_auc,ci_low_seed42,ci_high_seed42
CheXpert,Base,42,9277,2393,0.7396047339798216,0.7286134555810385,0.7511266073974056
CheXpert,Base,101,9277,2393,0.7633073828299808,,
CheXpert,Base,2024,9277,2393,0.751600882682956,,
CheXpert,PAAG,42,9277,2393,0.7712862095599868,0.7605276337924619,0.7826036727506209
CheXpert,PAAG,101,9277,2393,0.7643025622135838,,
CheXpert,PAAG,2024,9277,2393,0.7534565698957811,,
CheXpert,CSM,42,9277,2393,0.7636988621422205,0.7523206905006734,0.7745499318432661
CheXpert,CSM,101,9277,2393,0.7624412295400613,,
CheXpert,CSM,2024,9277,2393,0.7513365779961066,,
CheXpert,Full model,42,9277,2393,0.7708512359188249,0.7600243659696907,0.7813996246071185
CheXpert,Full model,101,9277,2393,0.7672610264345966,,
CheXpert,Full model,2024,9277,2393,0.7514573483623186,,
ChestX-ray8,Base,42,2943,28,0.6345626072041166,0.5362921220400728,0.730767436526077
ChestX-ray8,Base,101,2943,28,0.5830433717226171,,
ChestX-ray8,Base,2024,2943,28,0.6054275912766479,,
ChestX-ray8,PAAG,42,2943,28,0.6035898064199952,0.48952373243575226,0.7169641383441216
ChestX-ray8,PAAG,101,2943,28,0.5844033325165401,,
ChestX-ray8,PAAG,2024,2943,28,0.6099362901249694,,
ChestX-ray8,CSM,42,2943,28,0.611002205341828,0.4891397539442908,0.7244737699374527
ChestX-ray8,CSM,101,2943,28,0.5912153883851997,,
ChestX-ray8,CSM,2024,2943,28,0.5957240872335212,,
ChestX-ray8,Full model,42,2943,28,0.5940210732663562,0.46673956715256854,0.7155128389755402
ChestX-ray8,Full model,101,2943,28,0.5999142367066895,,
ChestX-ray8,Full model,2024,2943,28,0.594253859348199,,
All,Base,42,12220,2421,0.8094694056862641,0.800456057529084,0.817940118052132
All,Base,101,12220,2421,0.8257252476554879,,
All,Base,2024,12220,2421,0.8170501343843135,,
All,PAAG,42,12220,2421,0.8310652331609253,0.8228998900400597,0.8391693610798184
All,PAAG,101,12220,2421,0.8263135281023837,,
All,PAAG,2024,12220,2421,0.8182140284484769,,
All,CSM,42,12220,2421,0.825867470228419,0.8175393038541496,0.8343255927981486
All,CSM,101,12220,2421,0.8251672537879196,,
All,CSM,2024,12220,2421,0.8167485331663755,,
All,Full model,42,12220,2421,0.8305106325705119,0.8227782524216066,0.8387485595207095
All,Full model,101,12220,2421,0.8284389841767482,,
All,Full model,2024,12220,2421,0.8167468259896703,,
