source,comparison,dAUC_seed42,dAUC_seed101,dAUC_seed2024,p_seed42,p_seed101,p_seed2024,n_seeds_p<0.05,pooled,ci_low,ci_high,p,p_hksj,I2
CheXpert,Base vs PAAG,-0.0316814755801651,-0.00099517938360294,-0.0018556872128252522,1.1394913168457561e-24,0.45192805433571726,0.04419432256333345,2,-0.010968310704984203,-0.02223205553161718,0.0002954341216487768,0.05631479385381348,0.384978159671998,97.77437421155487
CheXpert,Base vs CSM,-0.024094128162398865,0.000866153289919569,0.00026430468684923714,3.4955857690559775e-23,0.30900738571456543,0.7458324238830423,1,-0.007186989824209342,-0.015892430869867268,0.0015184512214485848,0.10563545725921787,0.4684029241261348,97.9479884980679
CheXpert,Base vs Full model,-0.031246501939003246,-0.0039536436046156975,0.00014353432063740623,7.80791924692483e-23,0.0033109114846098225,0.8503218134816624,2,-0.01110007607627389,-0.022275995792669603,7.584364012182265e-05,0.05157085977847766,0.3711859940061578,97.89010327621035
CheXpert,PAAG vs CSM,0.0075873474177662326,0.0018613326735225089,0.0021199918996744893,2.6090252828420115e-05,0.1517888058382478,0.061459688538168494,1,0.0035899302205491456,0.00048398414079733887,0.006695876300300952,0.023487098495840478,0.18236754249111237,74.47043935152335
CheXpert,PAAG vs Full model,0.000434973641161851,-0.0029584642210127576,0.0019992215334626584,0.7104306398379403,0.04185772988380263,0.06380107938782088,1,-3.2175072056773684e-05,-0.002721991750128967,0.0026576416060154202,0.981295194627938,0.9841640835022436,73.39871143576778
CheXpert,CSM vs Full model,-0.0071523737766043816,-0.0048197968945352665,-0.0001207703662118309,0.00013634190281141347,0.0001224464166442256,0.8297137919147533,2,-0.003787181919430922,-0.008156384906938794,0.0005820210680769493,0.08933640500901929,0.210303216165492,90.91538245159576
ChestX-ray8,Base vs PAAG,0.030972800784121457,-0.0013599607939230873,-0.004508698848321502,0.4103581228347343,0.9279527244110227,0.5763745523804658,0,-0.002605173671843449,-0.01630052938364656,0.011090182039959661,0.7092694881569259,0.6268025700332522,0.0
ChestX-ray8,Base vs CSM,0.023560401862288582,-0.008172016662582715,0.009703504043126698,0.4507057316194142,0.45821719088746626,0.276053543756817,0,0.0036026737493456804,-0.009769533046208768,0.01697488054490013,0.5974622064775106,0.649670174553554,0.9668885336107106
ChestX-ray8,Base vs Full model,0.04054153393776028,-0.01687086498407253,0.011173731928448949,0.291730355133329,0.41179368262431426,0.19366938377295329,0,0.007333093814231068,-0.012132582697658139,0.026798770326120273,0.46028987969714674,0.540569144295277,13.576406301150312
ChestX-ray8,PAAG vs CSM,-0.0074123989218328745,-0.006812055868659628,0.0142122028914482,0.7112745455412219,0.6470357942363766,0.18525472318852776,0,0.004727433186966333,-0.010914989605344207,0.020369855979276874,0.5536171006780378,0.591398361492076,0.0
ChestX-ray8,PAAG vs Full model,0.00956873315363882,-0.015510904190149444,0.01568243077677045,0.4933770257014435,0.4166242724270345,0.1742716671383242,0,0.008079163137429403,-0.007729530414443851,0.023887856689302656,0.3165009932395505,0.41923681859413264,0.0
ChestX-ray8,CSM vs Full model,0.016981132075471694,-0.008698848321489816,0.0014702278853222506,0.4190158641771409,0.538643879260593,0.7308827972345522,0,0.00121733151619672,-0.006654796089928166,0.009089459122321605,0.7618206343650527,0.7172969208796299,0.0
All,Base vs PAAG,-0.021595827474661267,-0.0005882804468958502,-0.0011638940641635065,6.305952087422862e-23,0.5269449647316928,0.07386105331511042,1,-0.007380680619199836,-0.015057042976271308,0.0002956817378716361,0.05949686161309772,0.3911996841439056,97.61656186494291
All,Base vs CSM,-0.016398064542154756,0.0005579938675683849,0.00030160121793787464,1.2800074149990402e-21,0.34959844197758627,0.601408975662344,1,-0.004836031726808442,-0.010761173766579351,0.0010891103129624666,0.10965869176363421,0.4732277797567501,97.7979126045169
All,Base vs Full model,-0.02104122688424781,-0.0027137365212602793,0.0003033083946430981,9.818792829338252e-21,0.0042339220587383816,0.5735890719601566,2,-0.00738729709939479,-0.01499282143921065,0.00021822724042106986,0.05694128892143116,0.37719420754638433,97.7227483079976
All,PAAG vs CSM,0.005197762932506511,0.0011462743144642351,0.0014654952821013811,4.992263090727396e-05,0.20935453376734126,0.06783598883669943,1,0.0024091517362932234,0.0002547616013355608,0.0045635418712508865,0.02839579183566497,0.1918296143136853,73.48103469718504
All,PAAG vs Full model,0.0005546005904134566,-0.002125456074364429,0.0014672024588066046,0.5033945656152861,0.03767579635188494,0.05448584990916744,1,6.18674869433038e-05,-0.0019044281237764421,0.00202816309766305,0.9508261072640468,0.9586861910914259,75.18248374288359
All,CSM vs Full model,-0.0046431623420930546,-0.003271730388828664,1.7071767052234676e-06,0.0004900565551459344,0.0002152275196545889,0.996567567426911,2,-0.0024618335110209778,-0.005423080794440346,0.0004994137723983907,0.10321855608711834,0.21855498190652406,90.10679769856465
